# VarAstro Metadata Begin
# ObservationId: 93483
# StarName: WASP-43
# RA: 10h 19m 38.01s (154.9083749900)
# DE: -09° 48' 21.90" (-9.8060833333)
# ObserverName: Eduardo Fernández-Lajús, Romina P. Di Sisto
# Station: Complejo Astronómico El Leoncito, Argentina
# Latitude: -32
# Longitude: 290
# Instrument: 2.15 m Telescope +  Versarray 2048B CCD (Roper Scientific)
# Filter: V
# JD: HJD
# Unit: Mag
# VarAstro Metadata End
# Eduardo Fernandez-Lajus
# eflajus@fcaglp.unlp.edu.ar
#HJD            dMag   Err    Fil
2460378.78071 -0.2977 0.0018 V 
2460378.78095 -0.2882 0.0018 V 
2460378.78119 -0.2904 0.0018 V 
2460378.78143 -0.2802 0.0018 V 
2460378.78168 -0.2862 0.0018 V 
2460378.78192 -0.2857 0.0018 V 
2460378.78216 -0.2895 0.0018 V 
2460378.78241 -0.2894 0.0018 V 
2460378.78265 -0.2803 0.0018 V 
2460378.78289 -0.2794 0.0018 V 
2460378.78313 -0.2932 0.0018 V 
2460378.78338 -0.2853 0.0018 V 
2460378.78362 -0.2813 0.0018 V 
2460378.78386 -0.2917 0.0018 V 
2460378.78410 -0.2830 0.0018 V 
2460378.78435 -0.2744 0.0018 V 
2460378.78459 -0.2787 0.0018 V 
2460378.78483 -0.2874 0.0018 V 
2460378.78532 -0.2776 0.0018 V 
2460378.78556 -0.2741 0.0018 V 
2460378.78580 -0.2824 0.0018 V 
2460378.78605 -0.2856 0.0018 V 
2460378.78629 -0.2744 0.0018 V 
2460378.78653 -0.2772 0.0018 V 
2460378.78678 -0.2845 0.0018 V 
2460378.78702 -0.2784 0.0018 V 
2460378.78726 -0.2739 0.0018 V 
2460378.78823 -0.2758 0.0018 V 
2460378.78848 -0.2846 0.0018 V 
2460378.78920 -0.2837 0.0018 V 
2460378.78945 -0.2747 0.0018 V 
2460378.78969 -0.2762 0.0018 V 
2460378.78993 -0.2846 0.0018 V 
2460378.79016 -0.2782 0.0018 V 
2460378.79042 -0.2838 0.0018 V 
2460378.79066 -0.2782 0.0018 V 
2460378.79090 -0.2761 0.0018 V 
2460378.79114 -0.2736 0.0018 V 
2460378.79139 -0.2816 0.0018 V 
2460378.79163 -0.2790 0.0018 V 
2460378.79187 -0.2738 0.0018 V 
2460378.79211 -0.2763 0.0018 V 
2460378.79260 -0.2815 0.0018 V 
2460378.79284 -0.2777 0.0018 V 
2460378.79308 -0.2834 0.0018 V 
2460378.79333 -0.2726 0.0018 V 
2460378.79357 -0.2779 0.0019 V 
2460378.79406 -0.2721 0.0019 V 
2460378.79454 -0.2719 0.0019 V 
2460378.79479 -0.2778 0.0019 V 
2460378.79503 -0.2789 0.0019 V 
2460378.79552 -0.2789 0.0019 V 
2460378.79576 -0.2817 0.0019 V 
2460378.79600 -0.2794 0.0019 V 
2460378.79673 -0.2780 0.0019 V 
2460378.79697 -0.2828 0.0019 V 
2460378.79721 -0.2747 0.0019 V 
2460378.79746 -0.2803 0.0019 V 
2460378.79794 -0.2753 0.0019 V 
2460378.79819 -0.2708 0.0019 V 
2460378.79843 -0.2787 0.0019 V 
2460378.79867 -0.2756 0.0019 V 
2460378.79891 -0.2739 0.0019 V 
2460378.79916 -0.2749 0.0019 V 
2460378.79940 -0.2711 0.0019 V 
2460378.79964 -0.2725 0.0019 V 
2460378.79988 -0.2770 0.0019 V 
2460378.80013 -0.2706 0.0019 V 
2460378.80037 -0.2808 0.0019 V 
2460378.80061 -0.2714 0.0019 V 
2460378.80110 -0.2745 0.0019 V 
2460378.80134 -0.2743 0.0019 V 
2460378.80158 -0.2757 0.0019 V 
2460378.80183 -0.2714 0.0019 V 
2460378.80207 -0.2710 0.0019 V 
2460378.80231 -0.2715 0.0019 V 
2460378.80255 -0.2801 0.0019 V 
2460378.80304 -0.2739 0.0019 V 
2460378.80328 -0.2765 0.0019 V 
2460378.80352 -0.2784 0.0019 V 
2460378.80377 -0.2742 0.0019 V 
2460378.80401 -0.2789 0.0020 V 
2460378.80425 -0.2783 0.0020 V 
2460378.80450 -0.2766 0.0019 V 
2460378.80474 -0.2733 0.0019 V 
2460378.80498 -0.2752 0.0019 V 
2460378.80523 -0.2795 0.0019 V 
2460378.80547 -0.2806 0.0019 V 
2460378.80571 -0.2779 0.0019 V 
2460378.80595 -0.2731 0.0019 V 
2460378.80644 -0.2766 0.0020 V 
2460378.80668 -0.2806 0.0020 V 
2460378.80692 -0.2779 0.0020 V 
2460378.80717 -0.2764 0.0020 V 
2460378.80741 -0.2770 0.0020 V 
2460378.80789 -0.2778 0.0020 V 
2460378.80814 -0.2812 0.0020 V 
2460378.80887 -0.2749 0.0020 V 
2460378.80911 -0.2750 0.0020 V 
2460378.80935 -0.2784 0.0020 V 
2460378.81008 -0.2735 0.0020 V 
2460378.81032 -0.2753 0.0020 V 
2460378.81057 -0.2727 0.0020 V 
2460378.81081 -0.2814 0.0020 V 
2460378.81105 -0.2768 0.0020 V 
2460378.81154 -0.2805 0.0020 V 
2460378.81178 -0.2786 0.0020 V 
2460378.81203 -0.2747 0.0020 V 
2460378.81227 -0.2799 0.0020 V 
2460378.81251 -0.2774 0.0020 V 
2460378.81275 -0.2863 0.0020 V 
2460378.81299 -0.2856 0.0020 V 
2460378.81324 -0.2833 0.0021 V 
2460378.81348 -0.2831 0.0021 V 
2460378.81372 -0.2835 0.0020 V 
2460378.81397 -0.2848 0.0020 V 
2460378.81421 -0.2858 0.0021 V 
2460378.81445 -0.2767 0.0021 V 
2460378.81470 -0.2819 0.0020 V 
2460378.81494 -0.2896 0.0021 V 
2460378.81518 -0.2913 0.0021 V 
2460378.81542 -0.2877 0.0021 V 
2460378.81567 -0.2786 0.0021 V 
2460378.81591 -0.2930 0.0021 V 
2460378.81615 -0.2876 0.0021 V 
2460378.81640 -0.2848 0.0021 V 
2460378.81664 -0.2811 0.0021 V 
2460378.81688 -0.2920 0.0021 V 
2460378.81737 -0.2822 0.0021 V 
2460378.81761 -0.2937 0.0021 V 
2460378.81786 -0.2872 0.0021 V 
2460378.81834 -0.2894 0.0021 V 
2460378.81858 -0.2948 0.0021 V 
2460378.81883 -0.2931 0.0021 V 
2460378.81907 -0.2890 0.0021 V 
2460378.81931 -0.2877 0.0021 V 
2460378.81956 -0.2980 0.0021 V 
2460378.81980 -0.2920 0.0021 V 
2460378.82005 -0.2971 0.0021 V 
2460378.82029 -0.2994 0.0021 V 
2460378.82053 -0.2903 0.0021 V 
2460378.82102 -0.2920 0.0021 V 
2460378.82126 -0.2981 0.0022 V 
2460378.82150 -0.3019 0.0021 V 
2460378.82174 -0.2997 0.0021 V 
2460378.82199 -0.2999 0.0021 V 
2460378.82271 -0.3017 0.0022 V 
2460378.82296 -0.2988 0.0022 V 
2460378.82344 -0.3062 0.0022 V 
2460378.82368 -0.3041 0.0022 V 
2460378.82393 -0.3060 0.0022 V 
2460378.82417 -0.3052 0.0022 V 
2460378.82441 -0.2964 0.0022 V 
2460378.82538 -0.3045 0.0022 V 
2460378.82563 -0.2969 0.0022 V 
2460378.82660 -0.3006 0.0022 V 
2460378.82709 -0.3048 0.0022 V 
2460378.82733 -0.3066 0.0022 V 
2460378.82757 -0.3015 0.0022 V 
2460378.82781 -0.2983 0.0022 V 
2460378.82806 -0.3058 0.0022 V 
2460378.82830 -0.3012 0.0023 V 
2460378.82878 -0.3010 0.0023 V 
2460378.82951 -0.2993 0.0023 V 
2460378.82975 -0.2993 0.0023 V 
2460378.83024 -0.3059 0.0023 V 
